id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
149,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
150,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
151,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
152,BD-06 1339 b,66,8.5 Earths,9.7,2013
153,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
154,BD-08 2823 b,135,12.7132 Earths,9.86,2009
155,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
156,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
157,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
158,BD-11 4672 c,89,15.37 Earths,10.03,2020
159,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
160,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
161,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
162,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
163,BD-17 63 b,112,5.1 Jupiters,9.62,2008
164,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
165,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
166,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
167,BD+20 594 b,585,22.2481 Earths,10.849,2016
168,BD+45 564 b,175,1.36 Jupiters,9.67,2021
169,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
170,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
171,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
172,BD+55 362 b,171,0.72 Jupiters,9.38,2021
173,BD+60 1417 b,147,15 Jupiters,9.374,2021
174,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
175,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
176,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
177,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
178,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
179,CD Ceti b,28,3.95 Earths,13.95,2020
180,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
181,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
182,CHXR 73 b,621,12.569 Jupiters,,2006
183,CI Tauri b,515,11.6 Jupiters,13.642,2019
184,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
185,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
186,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
187,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
188,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
189,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
190,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
191,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
192,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
193,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
194,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
195,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
196,CoRoT-20 c,2753,17 Jupiters,14.63,2018
197,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
198,CoRoT-22 b,2046,12.2 Earths,13.82,2014
199,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
200,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
201,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
202,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
203,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
204,CD Ceti b,28,3.95 Earths,13.95,2020
205,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
206,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
207,CHXR 73 b,621,12.569 Jupiters,,2006
208,CI Tauri b,515,11.6 Jupiters,13.642,2019
209,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
210,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
211,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
212,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
213,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
214,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
215,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
216,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
217,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
218,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
219,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
220,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
221,CoRoT-20 c,2753,17 Jupiters,14.63,2018
222,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
223,CoRoT-22 b,2046,12.2 Earths,13.82,2014
224,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
225,DH Tauri b,440,11 Jupiters,13.98,2004
226,DMPP-1 b,204,24.27 Earths,7.98,2019
227,DMPP-1 c,204,9.6 Earths,7.98,2019
228,DMPP-1 d,204,3.35 Earths,7.98,2019
229,DMPP-1 e,204,4.13 Earths,7.98,2019
230,DMPP-2 b,450,0.437 Jupiters,8.57,2019
231,DMPP-3 A b,148,2.58 Earths,9.066,2019
232,DP Leonis b,997,6.28 Jupiters,18.6837,2009
233,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
234,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
235,EPIC 201238110 b,520,4.16 Earths,16.014,2019
236,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
237,EPIC 201497682 b,825,0.26 Earths,13.948,2019
238,EPIC 201595106 b,757,2.24 Earths,11.746,2021
239,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
240,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
241,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
242,EPIC 201833600 c,840,0.972 Earths,14.705,2019
243,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
244,EPIC 205950854 c,796,2.27 Earths,12.365,2019
245,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
246,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
247,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
248,EPIC 206032309 b,526,1.01 Earths,17.89,2019
249,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
